Numero CAS;NOM SA;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER
141517-21-7;trifloxystrobine;11/03/2021;Effet sur ou via la lactation, catégorie Lacta.;H362;Peut être nocif pour les bébés nourris au lait maternel
126535-15-7;triflusulfuron-methyle;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
126535-15-7;triflusulfuron-methyle;24/07/2015;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
126535-15-7;triflusulfuron-methyle;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
95266-40-3;trinexapac-ethyl;11/03/2021;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
95266-40-3;trinexapac-ethyl;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
95266-40-3;trinexapac-ethyl;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
131983-72-7;triticonazole;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
131983-72-7;triticonazole;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
131983-72-7;triticonazole;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
131983-72-7;triticonazole;11/03/2021;Toxicité pour la reproduction, catégorie 2(f);H361f;Susceptible de nuire à la fertilité 
142469-14-5;tritosulfuron;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
142469-14-5;tritosulfuron;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
142469-14-5;tritosulfuron;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
283159-90-0;valifenalate;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
283159-90-0;valifenalate;16/02/2022;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
137-30-4;zirame;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
137-30-4;zirame;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
137-30-4;zirame;16/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
137-30-4;zirame;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
137-30-4;zirame;16/12/2008;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
137-30-4;zirame;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
137-30-4;zirame;16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
137-30-4;zirame;16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
156052-68-5;zoxamide;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
156052-68-5;zoxamide;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
156052-68-5;zoxamide;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
112-30-1;1-decanol;27/09/2011;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
112-30-1;1-decanol;27/09/2011;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
112-30-1;1-decanol;27/09/2011;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
07/04/3100;1-methylcyclopropene;23/11/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
86-86-2;1-naphthylacetamide;27/01/2010;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
86-86-2;1-naphthylacetamide;27/01/2010;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
86-86-2;1-naphthylacetamide;27/01/2010;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
571-58-4;1,4-dimethylnaphthalene;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
571-58-4;1,4-dimethylnaphthalene;11/03/2021;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
571-58-4;1,4-dimethylnaphthalene;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
571-58-4;1,4-dimethylnaphthalene;11/03/2021;Danger par aspiration, catégorie 1;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires
571-58-4;1,4-dimethylnaphthalene;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
94-75-7;2,4-D;16/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
94-75-7;2,4-D;16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
94-75-7;2,4-D;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
94-75-7;2,4-D;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
94-75-7;2,4-D;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
1928-43-4;2,4-D ethylhexyl ester;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
1928-43-4;2,4-D ethylhexyl ester;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
1928-43-4;2,4-D ethylhexyl ester;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
1928-43-4;2,4-D ethylhexyl ester;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
94-82-6;2,4-DB;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
94-82-6;2,4-DB;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
1214-39-7;6-benzyladenine;29/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1214-39-7;6-benzyladenine;29/10/2013;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
1214-39-7;6-benzyladenine;29/10/2013;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
1214-39-7;6-benzyladenine;29/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
